# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with Gaussian transition probability
# Total number of throws (sampled points): M = 10000000
# Number of blocks: N = 10000
# Throws per block: L = 1000
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 0)
# Gaussian proposal standard deviation: sigma = 0.75
# Acceptance rate: A = accepted/attempted = 0.505173
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 1)
# Gaussian proposal standard deviation: sigma = 1.9
# Acceptance rate: A = accepted/attempted = 0.495557
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
324 1.29764 1.50286 0.00691275 5.38536 4.97131 0.0180996
325 1.55677 1.50303 0.00689344 5.24144 4.97214 0.018063
326 1.40404 1.50272 0.00687897 4.48333 4.97064 0.0180698
327 1.42485 1.50249 0.00686203 5.26448 4.97154 0.0180369
328 1.53029 1.50257 0.00684161 5.11132 4.97197 0.0179868
329 1.60907 1.50289 0.00682846 4.77781 4.97138 0.0179418
330 1.43749 1.5027 0.00681062 5.20065 4.97207 0.0179008
331 1.39377 1.50237 0.00679798 5.21967 4.97282 0.0178623
332 1.35411 1.50192 0.00679217 4.84185 4.97242 0.0178128
333 1.5414 1.50204 0.00677278 4.67595 4.97153 0.0177816
334 1.61678 1.50238 0.0067612 5.02513 4.97169 0.017729
335 1.55276 1.50253 0.00674267 5.18916 4.97234 0.0176879
336 1.37562 1.50216 0.00673317 4.78314 4.97178 0.0176442
337 1.43564 1.50196 0.00671606 4.9212 4.97163 0.0175924
338 1.3507 1.50151 0.0067111 5.18461 4.97226 0.0175515
339 1.44125 1.50133 0.00669364 4.74103 4.97158 0.017513
340 1.80339 1.50222 0.00673279 5.33298 4.97264 0.0174937
341 1.51098 1.50225 0.00671307 4.87897 4.97237 0.0174445
342 1.49219 1.50222 0.00669347 5.25954 4.97321 0.0174137
343 1.29336 1.50161 0.00670165 4.9397 4.97311 0.0173631
344 1.51336 1.50164 0.00668223 5.66075 4.97511 0.0174276
345 1.6016 1.50193 0.00666913 4.62073 4.97408 0.0174073
346 1.58579 1.50217 0.00665424 4.84231 4.9737 0.0173611
347 1.45191 1.50203 0.00663662 4.96177 4.97367 0.0173111
